symbol,date,time_UTC+2,total_range,prev_close,range_pct%
BLURUSDT,2026-04-01,02:05:00,0.00472000,0.02326000,20.29
CETUSUSDT,2026-03-30,20:00:00,0.00826000,0.02927000,28.22
DENTUSDT,2026-04-17,11:00:00,0.00003300,0.00016000,20.62
DUSDT,2026-04-02,11:20:00,0.00264000,0.01214000,21.75
FIOUSDT,2026-04-09,08:00:00,0.00167000,0.00624000,26.76
FUNUSDT,2026-04-09,08:00:00,0.00047800,0.00139000,34.39
HIGHUSDT,2026-04-18,09:40:00,0.12100000,0.56300000,21.49
KERNELUSDT,2026-03-31,08:45:00,0.02490000,0.10600000,23.49
MDTUSDT,2026-04-09,08:00:00,0.00196000,0.00847000,23.14
NOMUSDT,2026-04-01,15:35:00,0.00159000,0.00777000,20.46
NOMUSDT,2026-04-02,11:30:00,0.00247000,0.01131000,21.84
ONTUSDT,2026-03-30,02:30:00,0.01846000,0.08950000,20.63
PARTIUSDT,2026-04-09,22:25:00,0.04900000,0.08440000,58.06
PIVXUSDT,2026-04-14,05:30:00,0.02640000,0.09160000,28.82
SOLVUSDT,2026-04-02,17:50:00,0.00147000,0.00681000,21.59
STOUSDT,2026-04-02,11:30:00,0.54360000,1.44910000,37.51
STOUSDT,2026-04-02,11:45:00,0.19760000,0.70060000,28.20
STOUSDT,2026-04-02,17:40:00,0.13100000,0.59500000,22.02
STOUSDT,2026-04-02,17:45:00,0.09730000,0.47310000,20.57
TRUUSDT,2026-04-17,11:00:00,0.00170000,0.00700000,24.29
WALUSDT,2026-04-16,10:25:00,0.03950000,0.11850000,33.33
XPLUSDT,2026-04-02,23:10:00,0.04070000,0.15850000,25.68
XVGUSDT,2026-04-17,08:10:00,0.00082500,0.00412200,20.01
